Description										
Number of Runs	750									
Preset Time	1									
Pause Time	0									
Alarm Level	0									
High Voltage	900									
Step Voltage	0									
Volume	0									
										
Run	High		Elapsed			Mean	N	Frequency	Poisson Dist.	Gaussian Dist.
Number	Voltage	Counts	Time	Date/Time		13.97333333	3	1	0.058250346	0.382037549
461	900	17	1	4/9/25 15:01						
462	900	9	1	4/9/25 15:01						
463	900	8	1	4/9/25 15:01						
464	900	16	1	4/9/25 15:01						
465	900	17	1	4/9/25 15:01						
466	900	17	1	4/9/25 15:01						
467	900	12	1	4/9/25 15:01						
468	900	13	1	4/9/25 15:01						
469	900	17	1	4/9/25 15:01						
470	900	19	1	4/9/25 15:01						
471	900	19	1	4/9/25 15:01						
472	900	12	1	4/9/25 15:01						
473	900	13	1	4/9/25 15:01						
474	900	11	1	4/9/25 15:01						
475	900	10	1	4/9/25 15:01						
476	900	7	1	4/9/25 15:01						
477	900	15	1	4/9/25 15:01						
478	900	13	1	4/9/25 15:01						
479	900	14	1	4/9/25 15:01						
480	900	11	1	4/9/25 15:01						
481	900	16	1	4/9/25 15:01						
482	900	12	1	4/9/25 15:01						
483	900	22	1	4/9/25 15:01						
484	900	11	1	4/9/25 15:01						
485	900	17	1	4/9/25 15:01						
486	900	19	1	4/9/25 15:01						
487	900	16	1	4/9/25 15:01						
488	900	21	1	4/9/25 15:01						
489	900	20	1	4/9/25 15:01						
490	900	8	1	4/9/25 15:01						
491	900	15	1	4/9/25 15:02						
492	900	21	1	4/9/25 15:02						
493	900	14	1	4/9/25 15:02						
494	900	18	1	4/9/25 15:02						
495	900	10	1	4/9/25 15:02						
496	900	16	1	4/9/25 15:02						
497	900	21	1	4/9/25 15:02						
498	900	15	1	4/9/25 15:02						
499	900	13	1	4/9/25 15:02						
500	900	13	1	4/9/25 15:02						
501	900	14	1	4/9/25 15:02						
502	900	19	1	4/9/25 15:02						
503	900	8	1	4/9/25 15:02						
504	900	10	1	4/9/25 15:02						
505	900	19	1	4/9/25 15:02						
506	900	10	1	4/9/25 15:02						
507	900	9	1	4/9/25 15:02						
508	900	15	1	4/9/25 15:02						
509	900	7	1	4/9/25 15:02						
510	900	22	1	4/9/25 15:02						
511	900	13	1	4/9/25 15:02						
512	900	11	1	4/9/25 15:02						
513	900	15	1	4/9/25 15:02						
514	900	11	1	4/9/25 15:02						
515	900	13	1	4/9/25 15:02						
516	900	14	1	4/9/25 15:02						
517	900	14	1	4/9/25 15:02						
